CustomerID,Recency,Frequency,Monetary,Cluster
1000,63,12,1580.7,1
1001,24,11,4029.64,3
1002,18,9,3106.96,2
1003,12,8,1041.32,0
1004,101,2,102.89,1
1005,11,15,4698.47,3
1006,21,9,2341.65,2
1007,16,7,1333.35,0
1008,24,11,1534.0,2
1009,10,7,1154.37,0
1010,25,1,96.4,0
1011,15,7,2323.38,0
1012,25,10,2882.4500000000003,2
1013,5,9,3366.2,2
1014,2,8,1726.59,0
1015,22,15,2738.51,3
1016,1,11,4599.34,3
1017,20,17,4241.68,3
1018,3,11,3243.12,2
1019,38,10,2415.9,2
1020,33,9,2573.08,2
1021,6,9,2868.83,2
1022,6,15,2679.97,3
1023,10,9,2954.51,2
1024,14,12,4395.0,3
1025,8,19,4905.39,3
1026,2,9,2067.49,2
1027,11,8,2336.69,2
1028,5,12,3254.28,3
1029,36,8,2655.48,2
1030,14,7,1494.69,0
1031,25,6,2083.95,0
1032,4,6,1456.7,0
1033,31,9,1619.13,0
1034,24,9,2711.0,2
1035,11,6,1352.31,0
1036,2,5,1298.63,0
1037,4,10,2135.22,2
1038,12,3,510.85,0
1039,2,12,1755.82,2
1040,16,10,1638.1799999999998,2
1041,8,13,2583.75,2
1042,13,12,2306.16,2
1043,50,9,2697.53,1
1044,19,15,4103.1900000000005,3
1045,7,8,1938.77,0
1046,33,8,1597.21,0
1047,3,9,1501.84,0
1048,24,12,2413.53,2
1049,13,9,3433.82,2
1050,6,13,2175.77,2
1051,12,9,1641.2,0
1052,53,4,522.81,1
1053,17,10,2963.6000000000004,2
1054,3,16,4093.1,3
1055,11,14,3724.58,3
1056,10,8,2917.13,2
1057,2,9,2654.28,2
1058,47,10,2526.52,1
1059,6,12,3689.78,3
1060,16,10,2755.61,2
1061,1,11,2545.9,2
1062,8,13,2799.57,3
1063,8,12,1796.77,2
1064,3,8,1819.33,0
1065,45,7,2054.11,1
1066,34,10,1975.59,2
1067,17,8,2210.13,2
1068,3,9,2352.7,2
1069,60,9,2057.43,1
1070,28,16,3362.32,3
1071,34,8,1217.69,0
1072,15,6,1182.5,0
1073,6,7,1024.14,0
1074,10,11,3747.09,3
1075,21,5,2094.26,0
1076,12,14,3777.11,3
1077,18,16,4270.32,3
1078,2,15,2531.55,3
1079,19,14,3516.26,3
1080,14,13,3511.9,3
1081,23,13,3603.61,3
1082,11,10,2834.35,2
1083,19,10,2729.03,2
1084,25,8,2451.27,2
1085,3,8,1097.88,0
1086,2,13,3450.3,3
1087,69,13,2505.92,1
1088,11,12,2576.78,2
1089,3,9,2442.01,2
1090,28,7,2320.52,2
1091,9,12,4051.37,3
1092,75,8,2373.84,1
1093,4,7,2407.44,0
1094,12,5,1977.08,0
1095,2,10,2549.2200000000003,2
1096,24,14,3705.84,3
1097,4,13,3162.4300000000003,3
1098,9,10,2615.41,2
1099,27,12,2752.98,2
